,name,What college are you at?,I identify as...,I want to be matched with people looking for...,I want to match with people who are,How do you feel about an open/polyamorous relationship?,What year are you in?,What years do you want to match with?,What do you study?,Where do you go?,How COVID-Secure is your Date?,What do you talk about?,How far do you go?,It's ok to leave friends on read,Capitalism has failed the planet,University COVID guidelines are too harsh,Sharking is predatory,Drug laws should be loosened,I am scared that if I express my opinions I will be cancelled,Pissing in the sink is normal,How smart are you compared to the average Oxford student?,Was clubbing a large part of your social life?,The Pre-Covid best night out was...,How do you feel about alcohol?,How do you feel about cigarettes?,Is music important in your relationships?,Who are your favourite musicians?,How stylish are you?,How outdoorsy are you?,How kinky are you compared to the average Oxford student?,Is sports important in your relationships?,How important is emotional vulnerability in your relationships?,Which of these traits is most important for you in a partner?,Which of these traits do you have most?,Which of these traits do you have least?,I would best describe my political views as being...,There are some political views I don't want to be matched with,I do not want to match with someone who is...,Best Chip Van in Oxford,Worst Subject,Sexiest JCR Position,Biggest Waste of Human Potential,Nicest College,Biggest Name On Campus,I want to enter a crush,My crush's first name is...,My crush's college is...,I do not want to match with someone from my college,I do not want to match with someone from my course,Is there a particular college you don't want a match from?,I don't want a match from...,How was the quiz?,Any feedback for next time?,Do you want to share any contact details with your match (other than your Oxford email)?,Submitted At,Token,Unnamed: 60,Unnamed: 61,Unnamed: 62
350,person 483,Oriel College,Female,,Male,Not interested,First,"First, Second",Biochemistry (Molecular and Cellular),Dinner,As long as it's legal,The Deep Stuff™,Peck on the cheek,3,2,4,3,3,3,1,3,1,,3,1,2,,3,4,2.0,2,4,Intelligence,Intelligence,Sense of Humour,Sightly conservative,False,,Hassan's,Biochemistry (Molecular and Cellular),President,The Union,Magdalen College,Riya Bannerjee (legend),True,did not enter oxmatch,Somerville College,True,True,False,,5,able to chose more than one option,True,2020-10-18 12:48:52,jqakbm4gogdi65q2lpjqakbmpse3lodr,,,
351,person 1408,St Hilda's College,Female,,Male,Not interested,Third,"Second, Third, Fourth + / Post Grad",Psychology (Experimental),Drinks,"Live fast, die young","Art, Music, Culture...",Peck on the cheek,4,2,3,4,5,5,3,2,3,Bridge,5,4,3,,3,2,5.0,1,4,Sense of Humour,Sense of Humour,Intelligence,Moderate,True,"Very left-wing, Moderately left-wing, Very conservative",Ahmed's,Classics,President,Rowing,Worcester College,Malala rip,False,,,False,False,False,,5,No,True,2020-10-18 12:56:09,8fpty9bfu6e3vk3bzhe8fptftjqn4vtx,,,
352,person 1008,The Queen's College,Female,,Male,Not interested,Third,"Second, Third, Fourth + / Post Grad","Philosophy, Politics and Economics (PPE)",Drinks,"Live fast, die young",The Deep Stuff™,Horizontal,4,1,4,3,3,2,5,2,4,Bridge,3,2,2,,3,3,3.0,3,4,Sense of Humour,Sense of Humour,Intelligence,Sightly conservative,True,Very left-wing,Ahmed's,Computer Science and Philosophy,Entz,Student Journalism,New College,Chase,False,,,False,True,True,St Hilda's College,5,nah,False,2020-10-18 13:05:40,c36vl8gqukbad43xqc36vly0i1rqvaj5,,,
353,person 1213,Lady Margaret Hall,Female,,Female,Happy either-way,Second,"Third, Fourth + / Post Grad",Physics,Coffee,As long as it's legal,"Hobbies, their life, dreams",Horizontal,3,4,3,4,4,4,4,2,3,Bullingdon,4,3,1,,3,5,3.0,3,3,Confidence,Kindness,Confidence,Moderately left-wing,True,Very conservative,Hassan's,Economics and Management,Entz,The Union,Wadham College,Who?,False,,,False,True,False,,4,Nope,True,2020-10-18 13:08:37,84elyggk0gtpvr84els34472jaz02x2o,,,
354,person 1760,Lady Margaret Hall,Female,,Male,Not interested,Fourth + / Post Grad,"Third, Fourth + / Post Grad",Philosophy and Modern Languages,Coffee,2 Metres,"Art, Music, Culture...",Peck on the cheek,3,3,1,4,3,3,2,3,2,,1,1,2,,4,3,3.0,1,3,Sense of Humour,Sense of Humour,Kindness,Moderate,False,,Hassan's,Geography,President,The Union,Worcester College,Malala,False,,,True,True,False,,4,I would like to be able to select more than one option for the most important quality in a partner...,False,2020-10-18 13:08:48,ubpzynut8gljvi7ngubpzx6e6u25c78w,,,
355,person 1279,Lincoln College,Male,,Female,Happy either-way,Fourth + / Post Grad,"First, Second, Third, Fourth + / Post Grad",Mathematics,Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,2,5,4,3,5,1,4,3,3,Bridge,3,3,5,Jacob collier  scary pockets john mayer lake street dive,4,4,4.0,2,3,Kindness,Kindness,Ambition,Very left-wing,False,,Hassan's,Economics and Management,Entz,OUCA,Worcester College,Idk,True,did not enter oxmatch,Lincoln College,True,True,False,,4,Nope,True,2020-10-18 13:14:04,k1c8cmccjuepm6k1ce1sdcfnuk5rxna5,,,
356,person 2317,St Antony's College,Male,,Female,Happy either-way,Fourth + / Post Grad,"First, Second, Third, Fourth + / Post Grad",Oriental Studies,Walk in the park,As long as it's legal,The Deep Stuff™,Horizontal,3,5,4,3,3,1,2,3,4,A night in,5,2,3,,3,3,3.0,3,4,Kindness,Kindness,Sense of Humour,Moderate,False,,Hassan's,Chemistry,Welfare,OUCA,Lady Margaret Hall,Rickety Press,False,,,True,True,False,,5,"Great Questions, had a lot of fun already",False,2020-10-18 13:17:05,tbtz72n8btbtbmmezzbv10qx6xblmmeh,,,
357,person 3091,Jesus College,Male,,Female,Not interested,Fourth + / Post Grad,"First, Second, Third, Fourth + / Post Grad",Other,Drinks,As long as it's legal,The Deep Stuff™,Peck on the cheek,2,4,4,3,2,2,3,2,4,Park End / ATIK / WTF it's called,4,1,4,Eminem,4,3,4.0,2,4,Sense of Humour,Sense of Humour,Confidence,Moderately left-wing,False,,Hassan's,Earth Sciences (Geology),President,Rowing,Christ Church,Malala,False,,,True,False,False,,4,None,True,2020-10-18 13:19:15,b449hcpbxt9ng6pnob449hisqg0cik0l,,,
358,person 117,Keble College,Male,,Female,Not interested,First,"First, Second, Third",Law (Jurisprudence),Dinner,"Live fast, die young","Art, Music, Culture...",Horizontal,3,2,3,4,4,4,1,3,4,Park End / ATIK / WTF it's called,5,2,3,,4,3,2.0,2,3,Ambition,Ambition,Confidence,Sightly conservative,True,Very left-wing,Hassan's,Classics,President,Student Journalism,Magdalen College,Me obvs?!!!,False,,,False,True,False,,5,,False,2020-10-18 13:20:08,9u4r37qhtdonnho9c9u4r3e4gmfxg6nz,,,
359,person 33,Balliol College,Male,,Female,Not interested,Third,"First, Second, Third, Fourth + / Post Grad",Chemistry,Coffee,"Live fast, die young",Politics,Horizontal,1,5,5,3,5,5,5,3,3,Plush,1,5,3,,3,3,3.0,3,3,Sense of Humour,Ambition,Confidence,Very left-wing,True,Very conservative,Hassan's,Engineering Science,Entz,The Union,Balliol College,Na,True,did not enter oxmatch,Somerville College,True,True,False,,3,Bo,False,2020-10-18 13:20:46,vsv29iifi8tj0kt2iclrvsv29iq844q1,,,
360,person 186,St Hilda's College,Female,,Male,Happy either-way,First,"Second, Third, Fourth + / Post Grad, First",Law (Jurisprudence),Drinks,"Live fast, die young","Art, Music, Culture...",Peck on the cheek,3,3,4,3,4,3,4,2,4,Bridge,4,4,4,"Ranges from Leonard Cohen, the strokes, Rodriguez to German house and Kanye",4,1,,2,5,Kindness,Sense of Humour,Confidence,Moderate,False,,Hassan's,Economics and Management,Freshers Rep,Rowing,Trinity College,,False,,,False,True,False,,5,No,True,2020-10-18 13:25:47,qr8c4zzcv7er16ccbwdqr8c8e2c1ghla,,,
361,person 817,Wadham College,Female,,"Male, Nonbinary",Not interested,Third,"First, Second, Fourth + / Post Grad, Third",Classical Archaeology and Ancient History,Coffee,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,1,5,3,3,4,1,5,1,4,Bridge,4,1,4,"Harry styles, Kanye West, Arctic monkeys, Jaden, Willow, SZA, Frank Ocean, Tame Impala",4,2,4.0,1,3,Sense of Humour,Intelligence,Confidence,Moderately left-wing,True,"Sightly conservative, Very conservative, Moderately conservative",Hassan's,Law (Jurisprudence),Entz,The Union,St Catherine's College,Not me,False,,,True,True,False,,3,Nope,False,2020-10-18 13:25:59,svqaqeyqbjnr94ydoisvqaqex6egujel,,,
362,person 2985,Pembroke College,Female,,"Female, Male",Not interested,Third,"Second, Third, First, Fourth + / Post Grad",Music,Drinks,As long as it's legal,"Art, Music, Culture...",Elbow Tap,4,5,2,3,4,1,3,3,4,Bullingdon,4,2,5,"mac miller, H.E.R, bach +++",4,3,2.0,1,5,Kindness,Kindness,Confidence,Moderately left-wing,True,"Very conservative, Moderately conservative, Sightly conservative",Hassan's,"Philosophy, Politics and Economics (PPE)",Entz,OUCA,Worcester College,,True,did not enter oxmatch,Exeter College,False,True,False,,5,no!!,True,2020-10-18 13:27:52,xq5jmnml7tcz2sey7xq5j2eiqe34dj94,,,
363,person 1701,St Anne's College,Female,,Male,Not interested,Second,"Second, Third",Law (Jurisprudence),Coffee,As long as it's legal,Rowing,Peck on the cheek,4,2,1,1,1,4,3,4,4,Fever,5,2,3,,2,4,1.0,5,1,Confidence,Ambition,Kindness,Moderately conservative,True,Very left-wing,Hassan's,Geography,Welfare,Student Journalism,Green Templeton College,Bilal Aly,False,,,False,False,False,,3,No,False,2020-10-18 13:28:58,jq4qceqt815enalcjq4qceq8gax1xvls,,,
364,person 2185,St Anne's College,Female,,Male,Not interested,Second,"Second, Third",Psychology (Experimental),Coffee,As long as it's legal,The Deep Stuff™,Peck on the cheek,3,3,2,3,4,3,1,2,4,Park End / ATIK / WTF it's called,3,1,3,,3,4,2.0,3,4,Kindness,Kindness,Ambition,Slightly left-wing,True,"Very conservative, Moderately conservative",Hassan's,Computer Science,Welfare,Student Journalism,St Catherine's College,Connor Craig,False,,,True,True,False,,4,I'd like age options not just year options,False,2020-10-18 13:29:02,97cl7qr2qf6pktgfoj97cl7qzuk354nf,,,
365,person 2056,St Anne's College,Female,,Male,Not interested,Second,Third,Modern Languages,Coffee,As long as it's legal,The Deep Stuff™,Peck on the cheek,4,4,1,4,4,1,1,3,3,Park End / ATIK / WTF it's called,3,1,3,,3,4,2.0,1,4,Kindness,Kindness,Ambition,Very left-wing,True,"Sightly conservative, Moderately conservative, Very conservative",Hassan's,Geography,Welfare,Rowing,Lincoln College,Connor Craig,False,,,True,True,False,,4,Really good!!,False,2020-10-18 13:29:19,j1iilv16x0c2rjkj1iil6ngpeqbobqi6,,,
366,person 2557,Somerville College,Female,,"Male, Female, Nonbinary",Happy either-way,First,First,Physics,Drinks,"Live fast, die young",The Deep Stuff™,Horizontal,2,5,4,3,5,1,4,1,5,Plush,4,1,3,,4,3,3.0,1,5,Sense of Humour,Confidence,Ambition,Very left-wing,True,"Very conservative, Moderately conservative, Sightly conservative",Hassan's,Economics and Management,Welfare,The Union,Keble College,Alfie Brazier,True,did not enter oxmatch,Somerville College,True,True,False,,5,no :),True,2020-10-18 13:32:44,ovwkkvie9eg566iktmcovwktw4cwazcc,,,
367,person 1943,Christ Church,Female,,Male,Happy either-way,First,"First, Second, Third",Physics,Drinks,"Live fast, die young",The Deep Stuff™,Horizontal,3,4,4,5,4,1,1,3,2,,4,4,5,"Cage the elephant, Elton John, Portugal the man, Noname, Harry Nilson, The Beatles, Justin Hurwitz, Tom Odell, Lin-Manuel Miranda, Etta James, alt-J, Frank Sinatra, Max Richter",3,4,2.0,2,4,Kindness,Kindness,Confidence,Moderate,False,,McCoy's,Geography,Freshers Rep,The Union,Pembroke College,Ibz Mo,True,person 1642,Christ Church,True,True,False,,5,"no, it was perfect",True,2020-10-18 13:32:49,ugboak09c0jlgfeneuugbmqc51srauae,,,
368,person 752,Christ Church,Female,,Male,Not interested,Second,"Second, Third, Fourth + / Post Grad",Law (Jurisprudence),Drinks,"Live fast, die young",The Deep Stuff™,Horizontal,3,3,3,3,4,1,5,2,4,Park End / ATIK / WTF it's called,5,2,2,,3,3,4.0,3,4,Confidence,Kindness,Intelligence,Slightly left-wing,False,,Posh Nosh,Earth Sciences (Geology),Entz,OUCA,St Hilda's College,Melanie Onovo,False,,,False,True,False,,4,No,False,2020-10-18 13:33:57,3swwqreyp4dpzlb9uv3swwqzfuvr13ta,,,
369,person 1638,Somerville College,Male,,Female,Not interested,First,"First, Second",Law (Jurisprudence),Walk in the park,As long as it's legal,"Art, Music, Culture...",Horizontal,2,3,1,4,2,3,1,3,2,,3,1,3,,4,3,2.0,4,4,Sense of Humour,Ambition,Confidence,Moderately left-wing,True,"Very conservative, Moderately conservative",Hassan's,"Philosophy, Politics and Economics (PPE)",Freshers Rep,The Union,Christ Church,previously malala but now idk,True,person 615,Brasenose College,True,True,False,,5,nope this was great!,True,2020-10-18 13:34:02,upc022gxjixnljjwdupcl6qfqywzs1lm,,,
370,person 2628,Christ Church,Female,,Male,Not interested,Second,"Second, Third, Fourth + / Post Grad",Law (Jurisprudence),Drinks,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,3,2,2,5,1,3,5,1,4,Park End / ATIK / WTF it's called,5,3,3,,3,4,3.0,2,2,Sense of Humour,Sense of Humour,Intelligence,Sightly conservative,True,"Very left-wing, Very conservative",McCoy's,Physics,Welfare,Student Journalism,Christ Church,Des,False,,,True,True,True,Merton College,5,Nope,False,2020-10-18 13:37:53,ad4e18wvfs27px1zv6dad4e18v4yge2g,,,
371,person 326,Corpus Christi College,Female,,Male,Not interested,Second,"First, Second, Third, Fourth + / Post Grad",Law (Jurisprudence),Drinks,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,3,3,4,3,3,3,1,3,4,Park End / ATIK / WTF it's called,3,2,4,"Leon Bridges, Michael Kiwanuka, Billie Eilish",4,3,2.0,2,4,Confidence,Ambition,Confidence,Moderately left-wing,True,"Very conservative, Moderately conservative, Sightly conservative",Ahmed's,Law (Jurisprudence),Welfare,OUCA,Exeter College,,False,,,False,True,False,,3,No feedback,True,2020-10-18 13:47:32,8pb7nctzso180yej618pb7nct8mstwah,,,
372,person 1409,Merton College,Male,,Female,Not interested,Second,"First, Second, Third",Chemistry,Dinner,"Live fast, die young",Sex,Horizontal,2,3,5,2,4,3,4,2,4,Park End / ATIK / WTF it's called,5,2,4,"Coldplay, Oasis, Take That, Queen, Elton John, The Killers",4,4,4.0,2,4,Kindness,Kindness,Confidence,Moderately conservative,True,Very left-wing,Ahmed's,Theology and Religion,President,The Union,St John's College,Ethan Prince,True,person 1491,University College,True,True,False,,4,Nope,True,2020-10-18 13:51:42,5o5h91q17vt0ls41145o5h98yj53hog8,,,
373,person 1026,St John's College,Female,,Male,Not interested,Second,"Second, Third, Fourth + / Post Grad, First",Biology,Drinks,As long as it's legal,"Art, Music, Culture...",Horizontal,2,3,5,3,2,2,2,2,3,Bridge,4,2,3,,4,4,4.0,3,5,Confidence,Ambition,Intelligence,Sightly conservative,True,"Very left-wing, Very conservative",Ahmed's,Earth Sciences (Geology),Welfare,OUCA,Brasenose College,George Russell,False,,,False,False,False,,5,No,True,2020-10-18 14:03:11,72t9g2rnumiqxb9z2y772t9gr9285o33,,,
374,person 2118,Worcester College,Male,,Male,Not interested,Third,"First, Second, Third, Fourth + / Post Grad",Mathematics and Computer Science,Drinks,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,1,4,4,3,5,2,5,4,3,Fever,2,1,3,,3,2,3.0,1,5,Kindness,Kindness,Ambition,Moderately left-wing,True,"Moderately conservative, Very conservative",Hassan's,Law (Jurisprudence),President,OUCA,Worcester College,not sure,False,,,False,True,False,,5,"really enjoyed the quiz, not sure what else to suggest",True,2020-10-18 14:06:52,x7hvwge48bm4ix7h7zzai6y6591ubgjq,,,
375,person 242,Regent's Park College,Female,,Male,Not interested,Second,"Second, Third",Law (Jurisprudence),Drinks,As long as it's legal,"Uni, life, friends ",Peck on the cheek,2,2,2,3,3,2,3,2,4,Park End / ATIK / WTF it's called,5,2,5,"The Weeknd, Taylor Swift",3,3,2.0,3,4,Intelligence,Ambition,Confidence,Moderate,True,"Very conservative, Very left-wing",Hassan's,Theology and Religion,President,OUCA,Magdalen College,Santiago Bedoya-Pardo,False,,,False,False,False,,5,No,False,2020-10-18 14:10:37,zcztwy17aiywi9xxg8w4iozcztntespo,,,
376,person 1978,Regent's Park College,Female,,Male,Not interested,Second,"Second, Third",Classics,Drinks,As long as it's legal,"Life, friends, uni etc",Horizontal,3,3,2,3,4,1,5,2,4,Park End / ATIK / WTF it's called,5,2,1,,3,3,,4,3,Sense of Humour,Confidence,Sense of Humour,Moderate,True,"Very conservative, Very left-wing",Hassan's,Mathematics and Computer Science,President,The Union,Exeter College,Santiago Bedoya-Pardo,False,,,False,False,True,Merton College,5,None,False,2020-10-18 14:10:38,buwvmywvx5jp83fsi5buwvm6slm9ka54,,,
377,person 471,St Peter's College,Female,,Male,Not interested,Third,"Second, Third",History and English,Drinks,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,4,5,2,3,4,4,4,2,3,Park End / ATIK / WTF it's called,4,2,1,,3,4,1.0,1,4,Sense of Humour,Kindness,Confidence,Moderately left-wing,True,"Moderately conservative, Very conservative",Posh Nosh,"Philosophy, Politics and Economics (PPE)",Welfare,The Union,St Edmund Hall,Neville,False,,,False,True,False,,3,No,False,2020-10-18 14:11:39,k5na6z2h2mk49kepney2k5na6zueo7vx,,,
378,person 2948,New College,Female,,Male,Not interested,Second,"First, Second, Third",Medicine,Dinner,"Live fast, die young",horses,Horizontal,1,1,5,2,3,4,5,2,5,Park End / ATIK / WTF it's called,5,2,3,,2,5,1.0,4,4,Kindness,Kindness,Sense of Humour,Very conservative,False,,Hassan's,Classics,Entz,OUCA,Oriel College,,True,did not enter oxmatch,Brasenose College,False,True,False,,4,no,True,2020-10-18 14:12:43,kev8mokexm546frbtv3kev8mo7fhu5j4,,,
379,person 872,University College,Female,,Male,Not interested,Second,"Second, Third, Fourth + / Post Grad",Mathematics and Philosophy,Drinks,As long as it's legal,"Art, Music, Culture...",Horizontal,2,4,3,4,5,2,4,1,4,Bridge,4,2,3,,4,4,2.0,1,3,Sense of Humour,Kindness,Confidence,Moderately left-wing,True,"Moderately conservative, Very conservative, Sightly conservative",Ahmed's,Psychology (Experimental),President,OUCA,Exeter College,olly boyland,False,,,False,True,False,,4,no,False,2020-10-18 14:12:53,056xjr76707t9aadh056xjsnhbuoo2og,,,
380,person 3096,Green Templeton College,Female,,"Female, Male",Happy either-way,Fourth + / Post Grad,"First, Second, Third, Fourth + / Post Grad",Medicine,Dinner,As long as it's legal,The Deep Stuff™,Horizontal,3,4,2,3,4,1,4,3,3,Plush,4,2,3,,5,4,3.0,2,4,Ambition,Kindness,Intelligence,Moderately left-wing,False,,Hassan's,History,President,OUCA,Lady Margaret Hall,Malala!,False,,,False,False,False,,5,No feedback!,False,2020-10-18 14:15:49,nwoa70lcf1jebgcnwoap3bllgxlptqbk,,,
381,person 482,New College,Female,,Male,Not interested,Second,Second,Medicine,Dinner,"Live fast, die young",The Deep Stuff™,Peck on the cheek,4,5,5,4,5,2,3,3,4,Park End / ATIK / WTF it's called,5,3,2,,3,1,4.0,1,3,Kindness,Intelligence,Confidence,Very left-wing,False,,Hassan's,Physics,Entz,OUCA,Merton College,,False,,,False,False,False,,4,no,False,2020-10-18 14:15:58,n7kd8vhwodehcsraigln7kd82ett7y3l,,,
382,person 1730,New College,Female,,Male,Not interested,Second,"First, Second, Third, Fourth + / Post Grad",Law (Jurisprudence),Coffee,"Live fast, die young",football,Horizontal,2,5,5,1,4,3,5,3,5,Park End / ATIK / WTF it's called,5,2,2,,2,4,4.0,4,4,Sense of Humour,Intelligence,Confidence,Moderately left-wing,False,,Hassan's,Classics,President,OUCA,Merton College,,True,did not enter oxmatch,New College,True,True,False,,4,no,False,2020-10-18 14:19:26,oy6mmpysvr39n9ai2xoy6mmp4rac2o9l,,,
383,person 1120,St Hilda's College,Male,,Female,Not interested,Second,"First, Second, Third",Biomedical Sciences,Dinner,As long as it's legal,"Just get to know them, and discuss interests",Peck on the cheek,1,3,4,4,1,1,3,3,4,Park End / ATIK / WTF it's called,4,1,5,"The Kid Laroi, Eden, Lil Mosey, Juice WRLD",3,3,,2,4,Kindness,Kindness,Confidence,Very left-wing,True,"Very conservative, Moderately conservative",Ahmed's,Fine Art,President,OUCA,Worcester College,,False,,,True,True,False,,4,No,False,2020-10-18 14:22:07,lnc1lbbmnil9gq9ww0lnc1k2y7exrk29,,,
384,person 2895,St Edmund Hall,Male,,Female,Not interested,Third,"First, Second, Third, Fourth + / Post Grad","Philosophy, Politics and Economics (PPE)",Drinks,"Live fast, die young",Life,Horizontal,4,1,4,3,5,3,5,2,4,Bridge,4,4,5,Frank Ocean,3,3,2.0,3,2,Sense of Humour,Ambition,Intelligence,Moderately conservative,True,"Very left-wing, Very conservative",Ahmed's,Fine Art,Entz,OUCA,New College,Roble or (the always remembered) Nikhil Shah,False,,,True,True,False,,5,nope,True,2020-10-18 14:23:01,6w6cpdl11f49ac6w6cp4lfegg7g9viu7,,,
385,person 2630,The Queen's College,Female,,"Male, Female",Not interested,First,"First, Second, Third",Chemistry,Drinks,As long as it's legal,Politics,Peck on the cheek,3,2,4,4,4,3,1,3,2,,4,5,2,,4,4,1.0,1,4,Sense of Humour,Sense of Humour,Confidence,Moderate,True,"Very left-wing, Very conservative",Ahmed's,History and Politics,President,OUCA,Magdalen College,,True,person 1498,The Queen's College,True,True,False,,5,nope,True,2020-10-18 14:23:55,fwghxctfbrymfwgdixd7cmlq3objkv04,,,
386,person 2801,Magdalen College,Female,,Male,Happy either-way,Third,"Third, Fourth + / Post Grad",History,Drinks,"Live fast, die young",Politics,Elbow Tap,4,4,3,3,5,3,4,2,4,Park End / ATIK / WTF it's called,5,3,1,,2,3,,1,1,Sense of Humour,Kindness,Intelligence,Moderate,False,,McCoy's,Engineering Science,Entz,Student Journalism,Magdalen College,,False,,,True,True,False,,3,No,False,2020-10-18 14:30:51,0353o6nuf694zxszwe03538gtl3pjkke,,,
387,person 2515,St Catherine's College,Male,,Female,Happy either-way,Second,"First, Second, Third",Materials Science,Dinner,"Live fast, die young",Sex,Horizontal,3,3,4,3,4,2,4,2,5,Park End / ATIK / WTF it's called,4,1,4,"San Holo, Barns Courtney",1,4,5.0,4,5,Kindness,Confidence,Sense of Humour,Moderate,False,,Hassan's,Computer Science,Entz,Student Journalism,Hertford College,Brit,False,,,True,True,False,,4,Nope,True,2020-10-18 14:31:18,o4o0ys7mefzgst1i49uo4o0ys7dp8hiy,,,
388,person 571,University College,Female,,Male,Happy either-way,First,"First, Second, Third, Fourth + / Post Grad","Philosophy, Politics and Economics (PPE)",Drinks,As long as it's legal,Politics,Horizontal,3,4,3,2,4,2,4,3,2,,4,2,2,,3,4,5.0,2,4,Intelligence,Ambition,Sense of Humour,Moderately left-wing,False,,Hassan's,Fine Art,President,Rowing,Christ Church,James Price,False,,,True,True,False,,4,It’s great,True,2020-10-18 14:38:17,obe5am3uxt03aqk2mk1hobe5am3ywxj2,,,
389,person 2441,Brasenose College,Female,,"Male, Female, Nonbinary",Happy either-way,Second,"Second, Third",Law (Jurisprudence),Coffee,"Live fast, die young","Art, Music, Culture...",Horizontal,4,5,3,4,5,1,3,2,4,Park End / ATIK / WTF it's called,4,4,5,"Steve Lacy, Kali Uchis, Solange, James Brown, Ella Fitzgerald, Amy Winehouse, Tyler the Creator, A Tribe Called Quest",3,4,3.0,1,4,Kindness,Kindness,Confidence,Moderately left-wing,True,"Very conservative, Moderately conservative, Sightly conservative, I'm not political",Hassan's,Law (Jurisprudence),Entz,The Union,Worcester College,Hassan,False,,,False,False,False,,5,nope all good,True,2020-10-18 14:39:19,14fog2cqsdzg7xced14fo8d0v4hg9fgl,,,
390,person 3050,St Hilda's College,Female,,Male,Not interested,Third,"Third, Second, Fourth + / Post Grad","Psychology, Philosophy and Linguistics",Drinks,"Live fast, die young",The Deep Stuff™,Horizontal,2,4,4,2,3,2,3,2,4,Bridge,5,4,4,"Kanye, Hozier, Tyler the Creator",4,2,3.0,1,3,Sense of Humour,Ambition,Confidence,Slightly left-wing,True,"Moderately conservative, Very conservative",Ahmed's,Mathematics and Computer Science,Welfare,The Union,St Catherine's College,Ethan Dodd,False,,,False,True,True,Harris Manchester College,5,Nope!,False,2020-10-18 14:41:41,wjxn50nz6k3g2xjqkwjxn5u5kt6xz42c,,,
391,person 1498,The Queen's College,Male,,Female,Not interested,First,"First, Second",Music,Walk in the park,"Live fast, die young","Art, Music, Culture...",Peck on the cheek,3,4,4,3,4,5,5,3,3,Park End / ATIK / WTF it's called,3,1,4,"Tim Minchin, Bo Burnham, Musical Theatre",3,3,2.0,3,4,Kindness,Kindness,Ambition,Moderate,True,"Very left-wing, Very conservative",Hassan's,Classics,Entz,OUCA,Christ Church,,False,,,True,True,False,,3,idk,False,2020-10-18 14:42:39,h1n1ikryp55h6v3msl1h1n1ik52m0yr8,,,
392,person 211,Brasenose College,Female,,Male,Not interested,First,"Second, Third, Fourth + / Post Grad","Psychology, Philosophy and Linguistics",Drinks,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,3,4,4,3,4,2,2,1,3,Park End / ATIK / WTF it's called,5,5,4,anything chill,2,2,,3,3,Confidence,Kindness,Confidence,Moderately left-wing,False,,Hassan's,Music,Entz,The Union,Magdalen College,?,False,,,False,False,False,,4,some things hard to answer having only been here a week,False,2020-10-18 14:43:26,ni51psxbsz4xnx40pni518wspxsnjft0,,,
393,person 2824,Brasenose College,Female,,Male,Not interested,Second,"First, Second, Third",Chemistry,Drinks,"Live fast, die young",The Deep Stuff™,Peck on the cheek,3,3,5,3,4,2,1,1,5,Park End / ATIK / WTF it's called,5,2,5,Sam Cooke,5,4,3.0,3,5,Kindness,Confidence,Intelligence,Slightly left-wing,True,Very conservative,Hassan's,Physics,Entz,The Union,St Peter's College,Georgia Ofiaeli,True,person 1542,St Peter's College,False,True,False,,5,cba,True,2020-10-18 14:43:27,1u8waygeqi7h2diwg1u8auskof0pfm1x,,,
394,person 2198,Wadham College,Female,,Male,Happy either-way,First,"Second, Third, First",Economics and Management,Coffee,"Live fast, die young",Sex,Peck on the cheek,3,2,4,2,4,3,1,1,2,,4,3,3,,3,3,3.0,3,4,Confidence,Sense of Humour,Confidence,Moderately conservative,False,,Hassan's,Classics and Oriental Studies,President,OUCA,Brasenose College,Krishi K,False,,,False,True,False,,4,No,True,2020-10-18 14:43:53,be9jqm8hur66gc1bbe9jqhwb3yiklwuu,,,
395,person 915,St Hugh's College,Female,,Male,Not interested,Fourth + / Post Grad,Fourth + / Post Grad,English Language and Literature,Drinks,As long as it's legal,"Art, Music, Culture...",Elbow Tap,4,4,3,3,4,4,5,4,2,,5,2,4,I like too many to choose,3,4,3.0,1,5,Kindness,Kindness,Ambition,Slightly left-wing,True,Very conservative,Hassan's,Computer Science,Welfare,Rowing,Merton College,...?,False,,,True,True,False,,4,Ask nerdy culture questions too. Nice to know what people watch or read in downtime.,False,2020-10-18 14:44:43,py5zfl4a4ccjcqx9npy5zfccncyrey2p,,,
396,person 2479,Corpus Christi College,Female,,Male,Not interested,First,"First, Second",Psychology (Experimental),Walk in the park,As long as it's legal,"Art, Music, Culture...",Elbow Tap,3,4,2,3,2,4,2,3,1,,1,1,4,"don't have specifics but genre-wise pop, rnb, lo-fi, alternative, kp*p 🤭",3,2,,1,4,Kindness,Sense of Humour,Confidence,Moderately left-wing,True,"Moderately conservative, Very conservative",Hassan's,Archaeology and Anthropology,Entz,The Union,Lady Margaret Hall,eve bennett,False,,,False,False,False,,4,more options for traits,True,2020-10-18 14:45:03,b3yygkt9qn8cb0xwrnjxub3yygkp04qw,,,
