,I agree that I have bought a [ticket](https://fixr.co/event/215737120) and agree to the [Terms and Conditions](https://docs.google.com/document/d/1CMuFMFBw8FoJ2JRSkDh7QS31ZW5-Bf3\_BDg4pLLJ9B4/edit?usp=sharing).,name,Do you understand you won't get a match unless you've bought a ticket?,What college are you at?,What do you study?,"{{field:5be60ae4-75cb-48af-93d7-fb1955703b91}}, what year are you in?",What years do you want to match with?,I identify as...,I want to match with people looking for...,I want to match with someone who is:,How do you feel about a non-monogamous relationship?,I like Christmas the most for...,My ideal date is...,You are taking them to dinner. Where do you go?,What do you talk about?,How COVID-Secure is your Date?,Who pays?,What’s one thing you definitely want from your partner in the morning?,Fast forward to end of COVID-19. You and your partner are going on a dream romantic getaway. What continent is it on?,How political are you?,I would best describe myself as being...,Are there some political beliefs you don't want to match with?,I do not want to match with someone who is:,I would look after my drunk mate even if I had an essay due at 9am,"I’d always support my country, whether it was right or wrong.",Social activism is important to me,I'm very outgoing and extroverted,Climate change is the most important issue,My intellectual curiosity is the most important thing about me.,Being thought of as well dressed is important to me,"“From each according to his ability, to each according to his need” is a fundamentally good idea.
",I find extreme ambition attractive even when it interferes with family and friends,"Authority should always be questioned.
",No culture is superior to any other,It is important to me to promote access to Oxford,Making peace with the establishment is an important aspect of maturity.,"You cannot be moral without being religious
",I consider myself religious,There are some things that science cannot explain,Traditional gender roles exist for a reason,"Some people are naturally unlucky.
",Is it true that {{field:fead9b5e-ab90-4724-8d76-5bc0ee9a3a3b}} is the best college?,I think I have a healthy work/life balance.,I try to attend all lectures.,*Who has done* _*more*_* for women this term?*,I would never get with a tute partner,Best night out in Oxford?,"How do you describe organisations with hacks, slates, and famous debating societies? ",Are you smarter than most people at Oxford?,"Besides {{field:5be60ae4-75cb-48af-93d7-fb1955703b91}} {{field:7377cb3f-039d-4dc6-a882-0b64fac6f685}}, who is the Biggest Name on Campus?",Crewdates are...,Studying in the library is...,Are you a cat or a dog person?,What would you give your scout?,"Household bop or household baking?
",Emotional vulnerability is an important part of my friendships,Big spoon or little spoon?,How confident are you?,My humour is politically correct,Favourite game to play with friends?,My ideal date ends...,Do you announce to the porters if someone is staying over?,Are you kinky?,"Just so we’re really clear, are you naughty or nice? 😉",Best sconce?,Do you drink alcohol?,How much do you drink?,Do you smoke?,How much do you smoke?,"If you do nothing for an entire day, how do you feel?",Morning or Night person?,The ideal number of nights out is...,How important is music to you?,Favourite musicians? ,I consider myself outdoorsy,Vibe check - how wholesome are you?,I most want to get a...,I will most likely sell my soul to the city,How many children do you want?,I expect my children to attend Oxbridge,I want to be thought of as posh,"Looking back, if 2020 was a movie, what would it be called?",Which of these traits is most important for you in a partner?,Which of these traits is your best trait?,I would be disappointed if I didn't meet my match in person,I am happy to match with someone from my college,I am happy to match with someone from my course,Is there a particular college you don't want a match from?,I don't want a match from...,How was the quiz?,Any feedback for next time?,Do you want to include additional contact information for your match to reach you?,Your email is {{field:3b292fa4-3b1f-47db-8ef6-a631747f0486}} and you want to match with a {{field:cd7d9577-c952-4d05-b8b4-ef159867afa9}}.,Submitted At,Token
131,True,person 1834,1.0,St Anne's College,Medicine,Third,"Fourth + / Post Grad, Third",Female,,Male,Not interested,Quality time with family and friends,Something active!,Takeaway and a film,The Deep Stuff™,5.0,Split equally,Sex,South America,3.0,Moderately left-wing,1.0,,5.0,1.0,5.0,4.0,3.0,2.0,3.0,4.0,2.0,5.0,5.0,5.0,1.0,1.0,2.0,4.0,1.0,3.0,4.0,4.0,3.0,It's closer than I'd like it to be,1.0,Bridge,5.0,3.0,eve bennett,5.0,3.0,4.0,Chocolate,1.0,5.0,1.0,4.0,3.0,Cards against Humanity,4.0,1.0,4.0,5.0,pulled twins on the same night not realising they were different people,1.0,3.0,0.0,,2.0,4.0,2.0,5.0,"artic monkeys, the beatles, elvis, the 1975, Taylor swift",4.0,2.0,💰 Sweet job 💰,1.0,2.0,2.0,1.0,the end of the fucking world,Sense of Humour,Kindness,4.0,1.0,0.0,0.0,,3.0,too many politics questions,0.0,1.0,2020-11-22 16:23:38,1vdelv66bwn2rhn48feqyqhrte1vdelv
132,True,person 1408,1.0,Balliol College,Economics and Management,Second,"Second, Third, Fourth + / Post Grad",Male,,Female,Must have,The food,Dinner at a nice restaurant,Homemade meal,Sex,5.0,Me,Sex,Asia,3.0,Slightly left-wing,0.0,,5.0,3.0,4.0,5.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,4.0,1.0,It's closer than I'd like it to be,1.0,Bridge,4.0,4.0,Adam Roble,4.0,2.0,4.0,Chocolate,2.0,4.0,4.0,5.0,2.0,Among Us,5.0,1.0,4.0,5.0,Stand up if you've got with someone in your parents' generation,1.0,4.0,1.0,1.0,2.0,5.0,7.0,5.0,"Drake, Skepta, JME, Giggs",3.0,4.0,💰 Sweet job 💰,5.0,2.0,3.0,2.0,Celibacy,Sense of Humour,Sense of Humour,5.0,1.0,0.0,0.0,,4.0,,1.0,1.0,2020-11-22 16:27:28,nzv1i2f98p177s28nzv1ilto4h4nwfy9
133,True,person 1568,1.0,St John's College,Engineering Science,Second,"First, Second, Third, Fourth + / Post Grad",Male,,Female,Not interested,Quality time with family and friends,Dinner at a nice restaurant,Homemade meal,Politics,3.0,Me,To not wake me up,North America,4.0,Very conservative,1.0,,5.0,3.0,2.0,4.0,2.0,2.0,3.0,1.0,3.0,4.0,2.0,3.0,2.0,2.0,5.0,4.0,4.0,3.0,5.0,3.0,4.0,It's closer than I'd like it to be,1.0,Park End,2.0,4.0,#MyPresident,4.0,1.0,5.0,Chocolate,1.0,4.0,5.0,5.0,2.0,Cards against Humanity,4.0,2.0,2.0,2.0,I sconce anyone who summoned satan to deliver her period,1.0,3.0,0.0,,2.0,4.0,4.0,2.0,"Eminem, Elton John, Queen, Some of AC/DC Billy Joel",2.0,4.0,💰 Sweet job 💰,5.0,3.0,2.0,3.0,1918 Two: Corona Boogaloo,Confidence,Confidence,4.0,0.0,0.0,0.0,,4.0,"Last year you had some good questions on morals and faith, might be good to have an optional Deep Stuff tm section",0.0,1.0,2020-11-22 16:36:11,tdnv4wnz2wkg1zrrc6o2tdnv4wq4yyiy
134,True,person 2643,1.0,Brasenose College,Engineering Science,First,"First, Second, Third",Male,,Female,Not interested,Quality time with family and friends,Dinner at a nice restaurant,Best food money can buy,Politics,5.0,Me,Breakfast,Asia,4.0,Moderately conservative,0.0,,4.0,5.0,2.0,5.0,3.0,2.0,4.0,1.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,5.0,2.0,4.0,It's closer than I'd like it to be,2.0,Bridge,4.0,2.0,James Duffy,4.0,2.0,4.0,Nothing,1.0,4.0,3.0,4.0,1.0,Cards against Humanity,5.0,1.0,2.0,2.0,Sconce anyone who has run from a porter.,1.0,4.0,0.0,,2.0,4.0,4.0,3.0,"Oasis, Empire of the Sun, Dizzee Rascal",4.0,2.0,Spouse,4.0,2.0,3.0,2.0,Fuck sake,Sense of Humour,Sense of Humour,5.0,1.0,1.0,0.0,,3.0,,0.0,1.0,2020-11-22 16:20:00,ep0vhxx50zjdlq1ep0vhx0ykudawh8fs
135,True,person 1679,1.0,Pembroke College,Psychology (Experimental),Third,"Fourth + / Post Grad, Third, Second",Female,,Male,Not interested,The food,Taste the countryside on Port Meadow,Homemade meal,"Art, Music, Culture...",4.0,Split equally,Breakfast,Europe,4.0,Moderately left-wing,1.0,,5.0,1.0,4.0,5.0,3.0,4.0,3.0,4.0,2.0,2.0,5.0,3.0,2.0,1.0,2.0,3.0,1.0,3.0,4.0,3.0,3.0,It's closer than I'd like it to be,1.0,Bridge,3.0,3.0,,3.0,4.0,4.0,Nice card for Christmas,2.0,4.0,2.0,4.0,3.0,Cards against Humanity,4.0,1.0,3.0,4.0,got with both halves of a college wife+husband couple at the same bop,1.0,3.0,0.0,,2.0,4.0,2.0,3.0,"Masego, Vulfpeck, FKJ, Loyle Carter, Thundercat, Hozier, Dijon, Rosehardt",4.0,3.0,Spouse,4.0,2.0,2.0,2.0,revolving doors: never ending shitshow,Kindness,Confidence,4.0,1.0,0.0,0.0,,4.0,,0.0,1.0,2020-11-22 16:29:37,v0dx91dj7qdl6cc4v0dx91lnagceb8y4
136,True,person 217,1.0,New College,Computer Science,First,Second,Female,,Male,Not interested,Quality time with family and friends,Taste the countryside on Port Meadow,Dinner at a nice restaurant,The Deep Stuff™,4.0,Split equally,Breakfast,South America,3.0,Moderately conservative,0.0,,4.0,2.0,3.0,3.0,4.0,4.0,,3.0,3.0,3.0,4.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0,4.0,5.0,It's closer than I'd like it to be,5.0,Bridge,3.0,3.0,,1.0,2.0,2.0,Nothing,1.0,5.0,2.0,4.0,5.0,Chess,4.0,1.0,3.0,2.0,Anyone who’s played guitar to get someone in bed,1.0,3.0,0.0,,2.0,1.0,3.0,4.0,"Jacob Collier, Tom Misch",5.0,4.0,💰 Sweet job 💰,2.0,3.0,1.0,3.0,Pandemic,Confidence,Confidence,5.0,0.0,1.0,0.0,,4.0,,1.0,1.0,2020-11-22 17:08:36,ujnf6h3twq1lybwkujnkhawsgnx1b5f2
137,True,person 2023,1.0,Merton College,Mathematics,Third,"Third, Fourth + / Post Grad",Female,,Male,Happy either way,Quality time with family and friends,Taste the countryside on Port Meadow,Homemade meal,The Deep Stuff™,3.0,Split equally,Tickets for a night-out,South America,4.0,Moderately left-wing,1.0,,5.0,1.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0,5.0,4.0,3.0,1.0,1.0,2.0,2.0,3.0,5.0,3.0,1.0,It's closer than I'd like it to be,1.0,Bridge,4.0,2.0,,4.0,3.0,5.0,Flowers,2.0,4.0,1.0,3.0,4.0,Cards against Humanity,3.0,1.0,2.0,2.0,,1.0,3.0,0.0,,2.0,2.0,2.0,4.0,,4.0,4.0,Spouse,4.0,3.0,1.0,2.0,,Kindness,Kindness,4.0,1.0,0.0,0.0,,5.0,,1.0,1.0,2020-11-22 17:12:21,j8v4xs0ve00wa1oj8v4xsi08h2aeb4z4
138,True,person 2000,1.0,Lincoln College,Medicine,Third,"Third, Fourth + / Post Grad",Female,,Male,Not interested,Quality time with family and friends,Visit the Ashmolean,Dinner at a nice restaurant,Sex,5.0,Split equally,Sex,South America,3.0,Moderately left-wing,0.0,,4.0,1.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,5.0,5.0,2.0,1.0,4.0,3.0,1.0,2.0,4.0,5.0,4.0,It's closer than I'd like it to be,1.0,Park End,5.0,2.0,Anna Gunstone,4.0,4.0,4.0,Nice card for Christmas,1.0,4.0,3.0,4.0,4.0,Ibble Dibble,4.0,1.0,2.0,2.0,I sconce anyone who pretended they were pregnant to go to a strangers loo. The stranger called an ambulance.,1.0,4.0,0.0,,5.0,2.0,2.0,5.0,Joni Mitchell Lizzo,4.0,4.0,Blue,1.0,2.0,1.0,3.0,Lockdown Girl (cue remix of Uptown Girl),Sense of Humour,Confidence,5.0,0.0,0.0,0.0,,4.0,,1.0,1.0,2020-11-22 16:29:50,xyksvj0gu64c258imn39rxykozpwnshf
139,True,person 1111,1.0,Pembroke College,Biochemistry (Molecular and Cellular),Fourth + / Post Grad,"First, Second, Third, Fourth + / Post Grad",Male,,Male,Not interested,Quality time with family and friends,Dinner at a nice restaurant,Dinner at a nice restaurant,Politics,4.0,Split equally,Breakfast,Europe,3.0,Slightly left-wing,0.0,,5.0,2.0,3.0,2.0,4.0,4.0,4.0,2.0,1.0,3.0,3.0,4.0,3.0,1.0,2.0,3.0,1.0,4.0,5.0,3.0,4.0,It's closer than I'd like it to be,2.0,Park End,4.0,3.0,Eve Bennett,2.0,3.0,4.0,Nice card for Christmas,2.0,4.0,2.0,2.0,3.0,Cards against Humanity,4.0,1.0,2.0,1.0,,1.0,3.0,0.0,,1.0,3.0,3.0,3.0,Take that,3.0,5.0,First,3.0,2.0,2.0,2.0,2012,Kindness,Kindness,3.0,0.0,0.0,0.0,,4.0,,0.0,1.0,2020-11-22 16:52:47,58bht5xjjp91btuhspc58bht5xrqo77h
140,True,person 280,1.0,St Hugh's College,History (Ancient and Modern),Second,"First, Second, Third",Male,,Female,Not interested,Quality time with family and friends,Visit the Ashmolean,Dinner at a nice restaurant,"Art, Music, Culture...",3.0,Me,Breakfast,Europe,3.0,Slightly conservative,0.0,,4.0,2.0,3.0,2.0,3.0,4.0,3.0,1.0,1.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0,3.0,1.0,2.0,2.0,4.0,"A certain society related to philosophy, politics and economics",2.0,A night in..,3.0,3.0,Viren Shetty,1.0,3.0,2.0,Nice card for Christmas,4.0,3.0,4.0,2.0,2.0,Monopoly,3.0,3.0,2.0,2.0,Sconce the person who dressed up as a German stormtrooper (quite specific),1.0,1.0,0.0,,1.0,4.0,0.0,3.0,"Verdi, Strauss, Boney M",2.0,3.0,First,4.0,2.0,4.0,3.0,Hindsight,Intelligence,Intelligence,4.0,0.0,0.0,0.0,,3.0,no,0.0,1.0,2020-11-22 16:31:28,me9dbxbf0cnxwo4ume9db8oqg91d0x19
141,True,person 1477,1.0,Magdalen College,History,Third,"Third, Fourth + / Post Grad, Second",Female,,Male,Not interested,Quality time with family and friends,Dinner at a nice restaurant,Best food money can buy,"Art, Music, Culture...",5.0,Split equally,Tickets for a night-out,Europe,3.0,Moderately left-wing,1.0,,2.0,1.0,5.0,4.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,"A certain society related to philosophy, politics and economics",1.0,Park End,4.0,3.0,No one,5.0,3.0,5.0,Chocolate,1.0,5.0,1.0,4.0,1.0,Pictionary,5.0,1.0,3.0,4.0,Being sconced for borrowing a pen in an exam off a one night stand,1.0,4.0,0.0,,1.0,5.0,3.0,5.0,Simon and Garfunkel and The Strokes,5.0,4.0,First,3.0,4.0,1.0,2.0,"Year, interrupted",Confidence,Intelligence,5.0,0.0,0.0,0.0,,5.0,No,0.0,1.0,2020-11-22 16:33:20,26yrxf3f77kxc26ipoj26yrnim5tyxqj
142,True,person 1800,1.0,St Hugh's College,Computer Science,Fourth + / Post Grad,"Fourth + / Post Grad, Third",Male,,Female,Not interested,The presents,Taste the countryside on Port Meadow,Homemade meal,"Art, Music, Culture...",4.0,Split equally,Sex,Oceania,3.0,Slightly left-wing,1.0,,4.0,3.0,4.0,4.0,3.0,3.0,1.0,4.0,4.0,3.0,5.0,3.0,4.0,1.0,1.0,4.0,2.0,3.0,5.0,4.0,2.0,It's closer than I'd like it to be,2.0,A night in..,3.0,3.0,Elish,1.0,2.0,4.0,Nice card for Christmas,2.0,3.0,5.0,4.0,2.0,Catan,3.0,1.0,2.0,3.0,,1.0,4.0,0.0,,2.0,3.0,1.0,4.0,Cole Porter,4.0,4.0,Spouse,2.0,1.0,2.0,1.0,The year in,Sense of Humour,Sense of Humour,5.0,0.0,0.0,0.0,,4.0,,1.0,1.0,2020-11-22 16:32:38,umco4py16ttanmumco4ji7rbp03d7iq3
143,True,person 2013,1.0,New College,Biochemistry (Molecular and Cellular),Second,"Third, Fourth + / Post Grad, Second",Female,,Male,Happy either way,Quality time with family and friends,Taste the countryside on Port Meadow,Dinner at a nice restaurant,"Art, Music, Culture...",5.0,Them,Sex,Africa,1.0,Slightly left-wing,0.0,,5.0,2.0,4.0,3.0,2.0,1.0,4.0,4.0,2.0,5.0,4.0,1.0,5.0,1.0,1.0,5.0,4.0,3.0,4.0,5.0,1.0,It's closer than I'd like it to be,1.0,Bully,5.0,1.0,🤪,5.0,4.0,5.0,Chocolate,1.0,5.0,1.0,3.0,2.0,Cards against Humanity,5.0,1.0,5.0,5.0,"I sconce anyone who has had sex in the wardens (or provosts, presidents etc...) lodgings of another college",1.0,2.0,1.0,1.0,2.0,5.0,3.0,5.0,Jeff Buckley,4.0,4.0,Spouse,5.0,2.0,4.0,3.0,Impossible to have a fulfilling sex life,Sense of Humour,Kindness,5.0,1.0,0.0,0.0,,5.0,🤪,0.0,1.0,2020-11-22 16:37:38,um55d6ulpt4456bliqlfkum55d6lrur4
144,True,person 2516,1.0,St Hilda's College,Chemistry,Second,"First, Second, Third",Male,,Female,Happy either way,The time off,Taste the countryside on Port Meadow,Takeaway and a film,The Deep Stuff™,5.0,Split equally,Tickets for a night-out,South America,3.0,Very left-wing,0.0,,5.0,1.0,3.0,4.0,4.0,3.0,2.0,3.0,1.0,5.0,5.0,5.0,1.0,2.0,1.0,4.0,1.0,4.0,2.0,4.0,1.0,It's closer than I'd like it to be,4.0,Fever,5.0,1.0,Maggie Moriarty,5.0,1.0,1.0,Chocolate,1.0,2.0,4.0,4.0,2.0,Cards against Humanity,5.0,1.0,4.0,4.0,,1.0,5.0,0.0,,4.0,4.0,4.0,5.0,Bonobo,5.0,2.0,Blue,1.0,0.0,1.0,1.0,,Kindness,Sense of Humour,4.0,0.0,0.0,0.0,,5.0,,1.0,1.0,2020-11-22 16:28:48,8z22olnfr3knu7wnbvq8z22okcdel2uk
145,True,person 1615,1.0,Linacre College,Economics and Management,Fourth + / Post Grad,"Second, Third, Fourth + / Post Grad",Male,,Male,Not interested,Quality time with family and friends,Taste the countryside on Port Meadow,Dinner at a nice restaurant,The Deep Stuff™,4.0,Split equally,To not wake me up,Asia,2.0,Moderate,0.0,,4.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,1.0,3.0,5.0,2.0,2.0,1.0,4.0,4.0,It's closer than I'd like it to be,1.0,A night in..,3.0,3.0,Evie Smith,3.0,5.0,5.0,Nice card for Christmas,2.0,5.0,3.0,4.0,2.0,Cards against Humanity,3.0,1.0,4.0,4.0,I sconce anyone who followed a guy back from jumping in the lake after his exam and then messaging him the next morning,1.0,4.0,0.0,,3.0,4.0,2.0,4.0,"Fletcher, Becky Hill, Dua Lipa, Lauv",3.0,4.0,💰 Sweet job 💰,5.0,2.0,5.0,5.0,I know what you did last summer- absolutely fuck all,Ambition,Ambition,4.0,1.0,0.0,0.0,,5.0,"Not for the quiz, really loved it! More just would be good to let people put photos so that they can show more than the FB profile the other person is inevitably going to stalk;)",1.0,1.0,2020-11-22 16:41:23,mryvle6c0cvysmryvzc78pktal1mwzc7
146,True,person 1426,1.0,Keble College,Geography,First,"First, Second",Male,,Female,Not interested,Quality time with family and friends,Taste the countryside on Port Meadow,Homemade meal,"Art, Music, Culture...",3.0,Split equally,Breakfast,Europe,3.0,Moderate,1.0,,4.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,"A certain society related to philosophy, politics and economics",1.0,A night in..,3.0,3.0,Elodie Taylor,3.0,4.0,1.0,Chocolate,5.0,2.0,5.0,3.0,5.0,Rummikub ,3.0,1.0,1.0,1.0,Covid’s not allowed it yet.,1.0,3.0,0.0,,1.0,1.0,2.0,5.0,"Billie Eilish, Izzy Bizu, Laura Mvula, Lily Allen, Lianne La Havas, Queen, Sister Sledge,",5.0,5.0,First,3.0,3.0,2.0,3.0,Carry on isolating,Sense of Humour,Ambition,5.0,0.0,0.0,0.0,,5.0,More about what you’re like.,1.0,1.0,2020-11-22 16:40:12,q7c6z5elbg4lgdkoxq7c6zqdgxjayczy
147,True,person 2028,1.0,Lincoln College,Chemistry,Fourth + / Post Grad,"Third, Fourth + / Post Grad",Male,,Female,Not interested,The food,Something active!,Dinner at a nice restaurant,"Art, Music, Culture...",3.0,Split equally,Breakfast,Oceania,2.0,Slightly left-wing,1.0,,5.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,1.0,3.0,4.0,4.0,4.0,1.0,2.0,3.0,2.0,4.0,5.0,4.0,5.0,"A certain society related to philosophy, politics and economics",4.0,A night in..,4.0,1.0,JD @ Peters Whoever they are,5.0,3.0,4.0,Chocolate,3.0,3.0,5.0,4.0,3.0,Cards against Humanity,4.0,3.0,1.0,2.0,Fucked a choral scholar,1.0,3.0,0.0,,1.0,3.0,2.0,3.0,"James Blunt, Coldplay, Queen",5.0,5.0,Spouse,3.0,2.0,1.0,3.0,2020 The Year the World went to Shit,Kindness,Confidence,4.0,1.0,1.0,0.0,,5.0,,0.0,1.0,2020-11-22 16:45:20,10r1nghe38iv5bbrs2u410r1ngcwk3vx
148,True,person 1283,1.0,Green Templeton College,Medicine,Fourth + / Post Grad,Fourth + / Post Grad,Female,,Male,Not interested,The food,Taste the countryside on Port Meadow,Takeaway and a film,Sex,4.0,Split equally,Sex,Europe,3.0,Slightly left-wing,1.0,,4.0,1.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,4.0,5.0,It's closer than I'd like it to be,2.0,Fever,5.0,3.0,Beatrice Lander,2.0,3.0,5.0,Chocolate,2.0,5.0,1.0,4.0,3.0,Cards against Humanity,4.0,1.0,4.0,4.0,Sex up the tree in Worcester college,1.0,3.0,0.0,,2.0,1.0,1.0,2.0,King Princess,4.0,5.0,Spouse,1.0,3.0,2.0,1.0,Depression lol,Kindness,Kindness,5.0,0.0,0.0,0.0,,5.0,Nah it was a good quiz,1.0,1.0,2020-11-22 16:31:34,2iyj023en3rqlbanofy8xb9kk2iyj023
149,True,person 225,1.0,Worcester College,Mathematics,Second,Second,Male,,Female,Not interested,The presents,Taste the countryside on Port Meadow,Dinner at a nice restaurant,"Art, Music, Culture...",2.0,Pay separately,To not wake me up,Europe,2.0,Moderately left-wing,1.0,,4.0,1.0,3.0,2.0,2.0,5.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,5.0,5.0,"A certain society related to philosophy, politics and economics",1.0,A night in..,3.0,4.0,Beth Chambarlain,1.0,2.0,3.0,Nothing,3.0,4.0,5.0,2.0,4.0,Chess,4.0,5.0,2.0,3.0,wtf is a sconce??,1.0,4.0,0.0,,1.0,4.0,1.0,2.0,,2.0,5.0,First,1.0,0.0,2.0,2.0,,Intelligence,Kindness,4.0,1.0,0.0,0.0,,2.0,"Some of the scales are really strange. E.g. on the question ""how confident are you"", the bottom answer is labelled ""not very"". But surely that should be near the middle, and the bottom answer should be labelled like ""diagnosable anxiety disorders""? Maybe I just overthink these things...",0.0,1.0,2020-11-22 18:04:58,ztnfp2x7ymhvcz09mpcnztnfp7z31rxv
150,True,person 1227,1.0,Mansfield College,Geography,First,"First, Second, Third",Female,,Male,Not interested,Quality time with family and friends,Dinner at a nice restaurant,Takeaway and a film,"Art, Music, Culture...",5.0,Split equally,Sex,Europe,3.0,Slightly left-wing,0.0,,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,1.0,1.0,4.0,1.0,4.0,3.0,4.0,2.0,It's closer than I'd like it to be,3.0,Park End,3.0,3.0,Josh Chima,4.0,4.0,2.0,Chocolate,2.0,4.0,2.0,4.0,5.0,Monopoly,5.0,1.0,3.0,3.0,,1.0,4.0,0.0,,3.0,4.0,3.0,4.0,"Wallows, Khalid",3.0,3.0,Spouse,3.0,2.0,1.0,3.0,,Sense of Humour,Confidence,3.0,1.0,0.0,0.0,,4.0,Ask about height preferences,1.0,1.0,2020-11-22 17:07:55,r75sb0ajy3mmvvhb4r75sb03do2qmzae
151,True,person 575,1.0,Mansfield College,Law (Jurisprudence),First,"First, Second",Female,,Male,Not interested,Quality time with family and friends,Dinner at a nice restaurant,Takeaway and a film,"Art, Music, Culture...",5.0,Split equally,Sex,Europe,4.0,Very left-wing,1.0,,5.0,1.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,1.0,1.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,It's closer than I'd like it to be,1.0,Bridge,3.0,3.0,Josh chima,4.0,4.0,2.0,Flowers,2.0,5.0,2.0,4.0,5.0,Monopoly,4.0,1.0,4.0,3.0,,1.0,4.0,0.0,,3.0,4.0,3.0,4.0,Lana Del Rey/ Taylor Swift,2.0,4.0,Spouse,1.0,3.0,1.0,1.0,,Kindness,Kindness,3.0,1.0,0.0,0.0,,5.0,no really good,1.0,1.0,2020-11-22 17:08:14,wocetlo2mry6cv98wv7wocetlkcqpqay
152,True,person 1390,1.0,Brasenose College,Fine Art,First,"First, Second",Female,,Male,Happy either way,The food,Visit the Ashmolean,Takeaway and a film,"Art, Music, Culture...",4.0,Split equally,Breakfast,Asia,2.0,Moderately left-wing,1.0,,5.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,5.0,4.0,4.0,It's closer than I'd like it to be,2.0,Bridge,4.0,1.0,Duffy,3.0,2.0,5.0,Chocolate,4.0,5.0,2.0,4.0,4.0,Cards against Humanity,4.0,1.0,4.0,3.0,Anyone who would get with their college husband/wife,1.0,3.0,0.0,,2.0,3.0,4.0,5.0,"The 1975, anything 70s or alternative",3.0,4.0,First,2.0,1.0,2.0,3.0,Could It Get Any Worse?,Sense of Humour,Sense of Humour,4.0,1.0,1.0,0.0,,5.0,All good,1.0,1.0,2020-11-22 16:41:31,le4gild1zboeiooae24mjmyle4gild97
153,True,person 1049,1.0,St Anne's College,Physics,First,First,Male,,Female,Not interested,Quality time with family and friends,Dinner at a nice restaurant,Takeaway and a film,The Deep Stuff™,5.0,Split equally,Breakfast,Europe,3.0,Moderately left-wing,0.0,,5.0,1.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,5.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,"A certain society related to philosophy, politics and economics",1.0,Park End,3.0,3.0,,3.0,2.0,4.0,Nice card for Christmas,1.0,3.0,4.0,2.0,1.0,Cards against Humanity,5.0,1.0,3.0,3.0,,1.0,4.0,0.0,,3.0,5.0,2.0,4.0,,2.0,5.0,Spouse,3.0,2.0,1.0,1.0,,Kindness,Kindness,4.0,0.0,0.0,0.0,,3.0,#,1.0,1.0,2020-11-22 16:37:54,mznr4lw1fmx8i3pmznr4lw1fqqos53hh
154,True,person 2336,1.0,New College,Medicine,Second,"Second, Third",Female,,Male,Happy either way,The presents,Something active!,Takeaway and a film,Sex,5.0,Split equally,Sex,Asia,4.0,Moderately left-wing,1.0,,5.0,1.0,4.0,4.0,3.0,2.0,5.0,2.0,5.0,4.0,5.0,5.0,2.0,1.0,2.0,5.0,2.0,4.0,2.0,4.0,2.0,Donald Trump,1.0,Bully,5.0,5.0,Agatha Gwincinska,1.0,2.0,3.0,Chocolate,1.0,4.0,1.0,4.0,2.0,Cards against Humanity,5.0,2.0,5.0,5.0,What is a sconce? :0,1.0,4.0,1.0,5.0,4.0,5.0,7.0,4.0,"The Durruti Column, Aphex Twin, CAN, Nicholas Britell,  Shintaro Sakamoto, Baxter Dury, Leonard Cohen, Kendrick Lamar",3.0,2.0,💰 Sweet job 💰,2.0,5.0,1.0,1.0,The most fun 365 days have ever seen,Confidence,Sense of Humour,4.0,1.0,1.0,0.0,,5.0,No,1.0,1.0,2020-11-22 17:04:49,44ez1x283jslwetrsg44ez15qkxtaavq
