,Your privacy is important to us. By continuing you agree to [our privacy guidelines](https://docs.google.com/document/d/1CMuFMFBw8FoJ2JRSkDh7QS31ZW5-Bf3\_BDg4pLLJ9B4/edit?usp=sharing).,name,"{{field:5b1c8837-eea7-4074-bc27-c5a4efb4648a}}, did Carole Baskin murder her husband? 🐯",What college are you?,Are you...,I am looking for a...,I am in my...,I want to match with a...,What course do you?,"{{field:5b1c8837-eea7-4074-bc27-c5a4efb4648a}}, are you chaotic?",What type of chaos are you?,I identify as being..,I am fine matching with people with different political beliefs than me,I specifically do not want to match with someone who is..,Are there things science can't explain?,Are you an optimist?,Do you like going to new places with new people?,Is it okay to step on others to get ahead?,Do individuals have a responsibility to make sacrifices for their community?,How much do you love your college?,Do you like to work in your college library?,Would you date someone that rows?,Would you go on a date to a college formal?,Sexiest JCR role?,What were you like on your freshers group chat?,The biggest sin on College FB Groups is...,"{{field:5b1c8837-eea7-4074-bc27-c5a4efb4648a}}, what is your heart’s desire? 
","How smart are you compared to the average Oxford student? 
",Do you make an effort to attend lectures?,What type of tute partner are you?,"{{field:5b1c8837-eea7-4074-bc27-c5a4efb4648a}}, have you ever overslept and missed a tutorial?",Most creative excuse for a late/missed essay?,I generally find it easy to find friends to go to the places I want,"Where do you study? 
",Worst library sin?,Favourite library?,What is the biggest waste of human potential?,"Be honest, have you ever hacked?",Would you ever date a hack?,Do you enjoy crewdates?,Best sconce?,{{field:5b1c8837-eea7-4074-bc27-c5a4efb4648a}} do you drink excessively?,Are you a...,Greggs or Pret?,Favourite pub? 🍺,Favourite cafe? ☕,Is clubbing a large part of your social life?,Is Fever a bad idea?,I love Bridge Thursdays this much...,I would rather go to the pub than the club..,Ideal afters?,How musical are you?,Is music a big part of your life?,What type of music do you enjoy?,Favourite band/artist?,{{field:5b1c8837-eea7-4074-bc27-c5a4efb4648a}} how kinky are you?,Do you consider yourself athletic?,"{{field:5b1c8837-eea7-4074-bc27-c5a4efb4648a}}, what sports do you do?",I generally consider myself..,In my friendship group I am..,Do you think you have a good work/life balance?,I want to go on dates but I feel like I can’t find anyone…,My ideal post-lockdown first date would be...,Do you use dating apps?,Which ones?,How satisfied are you with the present choices for dating apps?,"Out of 5 matches, how many would you say you meet in person? \* ",Do you want to meet dating app matches in person?,Why don't you meet up with matches in person?,Would you like to be an early user for a new dating app in Michaelmas 2020?,I am okay matching with someone from my college,I am okay matching with someone from my course,How'd we do?,Your suggestions and feedback are welcome,I want to find a..,The college I dislike the most is...,Favourite club in Oxford?,(optional) What's been your experience with dating apps and how could it be improved?,I want to be matched with people looking for...,Submitted At,Token
190,1.0,person 2293,Yes,St Hilda's College,Female,Male,First year,"First year, Second year",Economics and Management,1.0,Chaotic neutral,Moderate,1.0,,1.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,Sports 🏐,The non-stop chatterbox,Using it as your personal lost & found,Spouse❤️,3.0,0.0,The Teamplayer (back them up!),0.0,I’ve never missed an essay;),True,My room,Scraping your chair back extra loudly,ST HILDA’S COLLEGE LIBRARY,Oxford University Conservative Association,0.0,1.0,1.0,"Suicide sconce: I sconce anyone who went to get their free STD check, got the stick in wrong, and couldn’t pee for 3 days",0.0,A mix of all the above depending on the week,Pret a Manger,Cape of good hope,Starbs (Starbucks),1.0,1.0,4.0,False,Asleep,2.0,1.0,"Pop, Country, R&B",ABBA all the way,6.0,3.0,"Hockey, ice hockey, karate, gym",In between,The Organizer,1.0,False,Pub trip,1.0,"Tinder, Hinge",3.0,1.0,1.0,"Messaging is awkward // I don't know what to say, It's hard to find people I have things in common with, It's difficult arranging to meet // I don't know where to meet them",1.0,0.0,1.0,4.0,,Something more... ❤️,Christ Church,Bridge,,,2020-05-27 00:16:19,xu0e420hpqzyguy3xu0useh1nzq77bp8
191,1.0,person 624,I don't know who that is,New College,Male,Male,Second year,"First year, Second year",Modern Languages,1.0,Chaotic good,Moderately left-wing,1.0,,0.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,Entz 🎫,The silent observer,Just general shitposting,Spouse❤️,4.0,1.0,The Teamplayer (back them up!),0.0,,True,College library,,Lower RadCam,The Oxford Union,0.0,1.0,1.0,,1.0,A mix of all the above depending on the week,Pret a Manger,The King's Arms!,Anything in Jericho,1.0,0.0,5.0,False,McDonalds,2.0,1.0,"Jazz, R&B, Pop, Rap, Indie, Electronic, Classical",Timmies,7.0,3.0,Gym & Lacrosse,Extroverted,The Organizer,1.0,False,Hiking!,1.0,Tinder,3.0,1.0,1.0,Messaging is awkward // I don't know what to say,1.0,1.0,1.0,5.0,Seems good so far!,Something more... ❤️,Christ Church,Plush,Better matching up of what people are looking for!,,2020-05-27 00:29:31,2ldbgjybhnj8m2l54uz64s6xqy9rd4r7
192,1.0,person 2644,I don't know who that is,Exeter College,Male,Female,First year,"First year, Second year, Third year, Fourth year +, Post Grad",History,0.0,,I am not political,1.0,,1.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,Welfare 💜,The silent observer,Sharing events nobody cares about,First🎓,4.0,1.0,I'm too busy arguing with the tutor..,1.0,The reading was boring,True,Uni libraries,Typing loudly,Gladstone Link,The Oxford Union,0.0,0.0,0.0,,0.0,Creature of the night 🌙 (no idea when I'll be up),Greggs,King’s Arms,Missing Bean,0.0,1.0,1.0,True,Kebab van,2.0,1.0,"Pop, Rap, R&B",Kanye West,3.0,2.0,None,Introverted,The Floater,1.0,True,Hassan’s,0.0,,,,,,0.0,0.0,1.0,4.0,It was pretty 🔥 tbh,Something more... ❤️,Brasenose College,I don't go to clubs,,,2020-05-27 00:37:11,1ryf9s3oscmi7og6pe1ryf9st44oz8b7
193,1.0,person 3,No,The Queen's College,Male,Female,Second year,"First year, Second year","Philosophy, Politics and Economics (PPE)",0.0,,Moderately left-wing,1.0,,1.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,President👑,The silent observer,Just general shitposting,Spouse❤️,4.0,0.0,The Teamplayer (back them up!),1.0,Choir,True,College library,Talking loudly...,Queen's library,The Oxford Union,0.0,0.0,1.0,If I put one they'll know it was me...,0.0,Creature of the night 🌙 (no idea when I'll be up),Pret a Manger,Turf,Jericho,0.0,1.0,3.0,True,McDonalds,4.0,1.0,"Classical, Jazz",According to Spotify it's choir if the Kings college Cambridge oops,5.0,1.0,"Cricket, Rugby, Cycling",In between,The Mess,1.0,True,Botanic gardens,0.0,,,,,,1.0,0.0,1.0,4.0,Questions seemed pretty good,Something more... ❤️,St Hilda's College,Park End,,,2020-05-27 00:51:27,49frdetf3r3g5bb6o49frdetsljaomau
194,1.0,person 889,No,Brasenose College,Male,Female,Fourth year +,Fourth year +,Medicine,0.0,,Slightly left-wing,1.0,,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,Welfare 💜,I wasn't in the freshers group chat (thankfully),Ranting / causing drama,Spouse❤️,3.0,1.0,The Teamplayer (back them up!),1.0,I submitted it in a dream (actually was the truth),False,My room,,My Spotify library,The Oxford Union,0.0,1.0,0.0,,1.0,A mix of all the above depending on the week,Greggs,Wig & Pen,Art Cafe,0.0,1.0,3.0,True,McDonalds,2.0,1.0,"Country, Electronic, Jazz, Pop, Rap, R&B, Reggae, Indie, Classical, Blues, Rock",The Gaslight Anthem,1.0,1.0,None,In between,The Comic Relief,1.0,False,,0.0,,,,,,0.0,0.0,0.0,4.0,,Something more... ❤️,Lincoln College,Bridge,,,2020-05-27 00:55:45,tyzdy3khuxaleg32xztyzdysl89re5re
195,1.0,person 932,Yes,St Peter's College,Female,Male,First year,"First year, Second year, Third year, Fourth year +",Philosophy and Theology,1.0,Chaotic good,Slightly left-wing,1.0,,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,President👑,Talkative but not too much,Just general shitposting,Spouse❤️,3.0,1.0,Ask questions to eat up the 🕐,0.0,Im in a play,True,My room,Being there alone at 4am lols,Bod,Oxford University Conservative Association,0.0,1.0,0.0,,0.0,A mix of all the above depending on the week,Pret a Manger,Spoonz,"Society Cafe, even tho its small af",1.0,1.0,3.0,False,Asleep,4.0,1.0,"Blues, Classical, Country, Electronic, Jazz, Pop, Rap, R&B, Reggae, Indie","Such a hard q :/       adele, Tom misch, John legend",7.0,2.0,Dance ,Extroverted,The Mom,0.0,True,Taking me to castle Hill and having a picnic,1.0,"Tinder, Bumble",3.0,0.0,1.0,"They don't respond to messages, It's difficult arranging to meet // I don't know where to meet them, Messaging is awkward // I don't know what to say, It's hard to find people I have things in common with",1.0,1.0,1.0,4.0,Get me a gem pls x,Something more... ❤️,Harris Manchester College,Park End,"If you have a 'top picks' section, it has to be diverse. 

Allow people to send photos and copy and paste stuff.",,2020-05-27 00:59:27,ftiyjaonv41a2390ftiu1s5nplz24694
196,1.0,person 1676,Yes,St Hilda's College,Male,Female,Second year,"First year, Second year, Third year, Fourth year +, Post Grad",Physics,0.0,,Moderately left-wing,1.0,,0.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,President👑,I wasn't in the freshers group chat (thankfully),Sharing events nobody cares about,First🎓,4.0,1.0,The Teamplayer (back them up!),0.0,"Hey I got drunk with you last night, so hopefully you'll excuse the delay in my submission!",True,College library,,Radcam,My college's JCR,0.0,1.0,0.0,,0.0,A mix of all the above depending on the week,Pret a Manger,Nothing in the UK,Pret lol,0.0,1.0,2.0,True,Kebab van,2.0,0.0,,,4.0,1.0,None,In between,King,1.0,True,Radcam,0.0,,,,,,1.0,1.0,1.0,5.0,"Ending on question 69, nice.",Something more... ❤️,Exeter College,Park End,,,2020-05-27 01:11:09,q5eb7ksqk9tt9a0mw5q5eb7yeg2443c8
197,1.0,person 34,Yes,Hertford College,Female,Male,First year,"First year, Second year, Third year",Oriental Studies,1.0,Chaotic neutral,Moderate,0.0,"Very conservative, Very left-wing, Moderately conservative",1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,Welfare 💜,The silent observer,Sharing events nobody cares about,Spouse❤️,2.0,1.0,Please don't ask me a question,0.0,,True,My room,Typing loudly ffs,Hertford Lib!,The Oxford Union,0.0,0.0,0.0,,1.0,A mix of all the above depending on the week,Pret a Manger,Turf Tavern,Society,1.0,0.0,3.0,False,Kebab van,2.0,1.0,"Pop, Indie","Lauv, Cavetown, Shawn Wasabi, Alec Benjamin, Conan Gray",4.0,1.0,None,In between,The Mess,1.0,True,Picnic and then sunset walk,1.0,Tinder,1.0,1.0,0.0,"It's hard to find people I have things in common with, Messaging is awkward // I don't know what to say",1.0,1.0,1.0,5.0,,Something more... ❤️,Christ Church,Park End,"Bad, people just want to hook up.",,2020-05-27 01:14:55,xcjgp09ygdt3e0qe2ftxcjgw374k0w2b
198,1.0,person 2003,I don't know who that is,St Hilda's College,Male,Female,First year,"First year, Second year, Third year",Mathematics,1.0,Chaotic neutral,I am not political,1.0,,0.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,1.0,Entz 🎫,The silent observer,Sharing events nobody cares about,First🎓,4.0,1.0,The Teamplayer (back them up!),0.0,,True,My room,,radcam,Oxford University Conservative Association,0.0,1.0,1.0,(was a suicide-sconce) sconce anyone who slept with their best friend’s childhood crush,1.0,Get up in the afternoon person ⏰ (!!!),Greggs,half moon,pi cafe,1.0,1.0,5.0,False,Kebab van,4.0,1.0,"Blues, Electronic, Jazz, Classical",Camel (band),7.0,2.0,None,In between,The Mess,1.0,True,would love to have a spoons date,1.0,Tinder,4.0,4.0,1.0,It's hard to find people I have things in common with,1.0,1.0,1.0,5.0,,Something more... ❤️,Christ Church,Bridge,,,2020-05-27 01:29:18,1y8vs48v05avgi6z1y8vsac11kzw9h12
199,1.0,person 2311,No,University College,Male,Female,First year,"First year, Second year",Chemistry,1.0,Chaotic good,Moderately left-wing,1.0,,0.0,1.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,Entz 🎫,avoiding drama by shitposting,Ranting / causing drama,First🎓,1.0,0.0,Please don't ask me a question,1.0,I've tested positive for coronavirus and have been told to self-isolate,True,My room,"just going to the library in the first place, you fuckin nerd",how many questions on libraries are there?? i already told you i don't go the the library,The Oxford Union,0.0,1.0,1.0,suicide sconce: i sconce anyone who drunkenly stole a briefcase from college thinking it was secret intel,1.0,Creature of the night 🌙 (no idea when I'll be up),Greggs,spoons any day of the week,boston tea party (it's a south-west thing),0.0,1.0,3.0,True,Kebab van,2.0,1.0,"Indie, Rap",the wombats,7.0,2.0,"Swimming, Cycling, skiing",In between,The Mess,0.0,False,"coffee, followed by a riverside walk. cheeky kiss at the end and the mention of a second date ""if you play your cards right""",1.0,Tinder,1.0,0.0,1.0,It's hard to find people I have things in common with,1.0,1.0,1.0,4.0,"better text entry fields? can only fit ~30 characters on a line so longer responses are a bit annoying

questions that better reflect your previous answers (looking at you, library questions)",Something more... ❤️,Brasenose College,Park End,,,2020-05-27 01:37:28,n9z12fwtnsyiy5pm4wn9z12bad430oac
200,1.0,person 3008,Yes,Somerville College,Female,Female,Third year,"Second year, Third year, Fourth year +","Philosophy, Politics and Economics (PPE)",0.0,,Very left-wing,0.0,"Moderately conservative, Very conservative",0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,Welfare 💜,The silent observer,Ranting / causing drama,First🎓,3.0,0.0,The Teamplayer (back them up!),1.0,'Lost' half of an essay,True,Cafes,,Taylorian,The Oxford Union,0.0,0.0,0.0,,0.0,Creature of the night 🌙 (no idea when I'll be up),Pret a Manger,The Victoria,Truck Store,0.0,1.0,2.0,True,McDonalds,2.0,1.0,"Blues, Electronic, Jazz, Pop, Rap, R&B, Indie",...BTS,8.0,1.0,None,Introverted,The Mom,0.0,False,art museum,1.0,Tinder,2.0,1.0,0.0,Hard to find people who aren't creeps/desperate for a quick shag,1.0,0.0,1.0,4.0,,Just a friend 😊,Christ Church,I don't go to clubs,,,2020-05-27 01:54:53,6kylklzge5zl4kopq6kylklps4avqf64
201,1.0,person 1141,Yes,Jesus College,Male,Female,First year,"Second year, First year",Law (Jurisprudence),1.0,Chaotic evil,Moderately left-wing,1.0,,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,President👑,The silent observer,Ranting / causing drama,First🎓,2.0,0.0,The Teamplayer (back them up!),1.0,,False,Cafes,Stealing someone's seat,Glink,Oxford University Conservative Association,0.0,1.0,1.0,,1.0,Creature of the night 🌙 (no idea when I'll be up),Greggs,The crown,Taylor's,1.0,0.0,4.0,True,Kebab van,2.0,1.0,"Indie, Country",Simon & Garfunkel,8.0,2.0,"Football, Cycling",In between,The Mess,0.0,True,Literally anywhere,0.0,,,,,,0.0,0.0,1.0,5.0,,Just a friend 😊,Christ Church,Bridge,,,2020-05-27 02:37:03,7n910gmw245d60g1k7n910rzhemn1qlj
202,1.0,person 2868,Yes,Corpus Christi College,Male,Female,First year,"First year, Second year, Fourth year +",Psychology (Experimental),1.0,Chaotic good,Moderate,1.0,,0.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,Welfare 💜,The silent observer,Just general shitposting,Blue🎖,3.0,0.0,Please don't ask me a question,1.0,"I attempted writing it when drunk, failed, and then the ensuing hangover made me forget it existed",True,My room,,RadCam,The Oxford Union,0.0,1.0,1.0,Once heard the sconce “anyone who snorted coke of their boyfriends best friends cock”,1.0,Creature of the night 🌙 (no idea when I'll be up),Greggs,Turf Tavern,The High Street Cafe,1.0,0.0,3.0,True,McDonalds,3.0,0.0,,,5.0,3.0,"Football, Rugby",Extroverted,The Mess,1.0,True,Gotta love sandy’s,0.0,,,,,,1.0,1.0,1.0,4.0,,Something more... ❤️,Christ Church,Park End,,,2020-05-27 02:41:44,6t8ybotlw2bdbhx2y6t8ybo1sf8xesgp
203,1.0,person 590,Yes,St John's College,Male,"Male, Female",First year,"First year, Second year, Third year","Philosophy, Politics and Economics (PPE)",1.0,Chaotic neutral,Moderately left-wing,1.0,,0.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,Secretary ✍️,The silent observer,Ranting / causing drama,First🎓,2.0,0.0,I'm too busy arguing with the tutor..,0.0,Sickness,True,College library,,St. Johns Library,My college's JCR,0.0,1.0,1.0,,1.0,A mix of all the above depending on the week,Pret a Manger,King's Arms,Green Cafe,0.0,0.0,3.0,True,Kebab van,0.0,0.0,,,6.0,1.0,Rowing,Extroverted,The Floater,1.0,True,,0.0,,,,,,1.0,1.0,1.0,4.0,,Just a friend 😊,Harris Manchester College,Fever,,,2020-05-27 04:13:02,zjd53hoes9o0w2lvjzjd56uwotmivf4a
204,1.0,person 2688,I don't know who that is,Mansfield College,Male,Female,First year,"First year, Second year",History,0.0,,Moderately left-wing,0.0,Moderately left-wing,1.0,1.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,Welfare 💜,The non-stop chatterbox,Sharing events nobody cares about,Spouse❤️,1.0,1.0,The Teamplayer (back them up!),0.0,,False,Cafes,,Rad Cam,Oxford University Conservative Association,0.0,1.0,1.0,,0.0,A mix of all the above depending on the week,Greggs,Turf Tavern,Nero,0.0,0.0,3.0,True,Kebab van,1.0,1.0,Pop,Coldplay,3.0,2.0,Football,Extroverted,The Organizer,0.0,True,,1.0,Tinder,2.0,1.0,1.0,"They don't respond to messages, Messaging is awkward // I don't know what to say",1.0,0.0,1.0,4.0,"A bit long. Other than that great, thank you!",Something more... ❤️,Wycliffe Hall,Fever,,,2020-05-27 07:02:51,ni63sqk9osqjnuz0mni63c8xcnd8lnhq
205,1.0,person 2014,I don't know who that is,The Queen's College,Male,Female,First year,"First year, Second year, Third year, Fourth year +, Post Grad","Philosophy, Politics and Economics (PPE)",0.0,,Moderately left-wing,1.0,,1.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,Welfare 💜,The silent observer,Using it as your personal lost & found,First🎓,3.0,1.0,Please don't ask me a question,0.0,Never missed one 0:),False,My room,Typing too hard,Dunno,Oxford University Conservative Association,1.0,1.0,0.0,,0.0,Morning person 🌅,Greggs,Dunno,Gail’s,0.0,1.0,2.0,True,Kebab van,0.0,0.0,,,5.0,1.0,Football,In between,The Mom,0.0,True,Beach,0.0,,,,,,1.0,1.0,1.0,3.0,Not sure,Something more... ❤️,Christ Church,I don't go to clubs,,,2020-05-27 07:54:59,ew6k29n3dtxwm2e7ew6k299ifctc3021
206,1.0,person 2364,Yes,St Catherine's College,Male,Female,Third year,"Third year, Second year",Mathematics,1.0,Chaotic neutral,I am not political,1.0,,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,Entz 🎫,I wasn't in the freshers group chat (thankfully),Just general shitposting,Spouse❤️,3.0,0.0,The Teamplayer (back them up!),0.0,,False,My room,,None,The Oxford Union,0.0,1.0,1.0,,1.0,A mix of all the above depending on the week,Pret a Manger,Turf Tavern,Gail's ( on Little Clarendon St),0.0,1.0,3.0,True,Kebab van,2.0,1.0,"Pop, Rap, Jazz",Abba,3.0,1.0,Field Hockey,In between,The Organizer,1.0,True,Beer in a pub,0.0,,,,,,0.0,0.0,1.0,4.0,Maybe add nationality ?,Something more... ❤️,St Edmund Hall,Park End,,,2020-05-27 07:56:23,6150gr9thth3w16xj96150grcfw94s7z
207,1.0,person 1116,Yes,Christ Church,Female,Male,First year,"First year, Second year, Third year",English and Modern Languages,0.0,,Moderately left-wing,1.0,,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,Entz 🎫,The silent observer,Using it as your personal lost & found,Spouse❤️,3.0,1.0,Ask questions to eat up the 🕐,0.0,I bruised both of my feet and got concussion,True,College library,,ChCh or radcam,Oxford University Conservative Association,0.0,0.0,1.0,,1.0,A mix of all the above depending on the week,Pret a Manger,The White Rabbit,Taylor’s,1.0,1.0,5.0,False,McDonalds,2.0,0.0,,,4.0,3.0,Football,Extroverted,The Wildcard,0.0,True,,1.0,Tinder,1.0,1.0,0.0,"Messaging is awkward // I don't know what to say, It's hard to find people I have things in common with",0.0,1.0,1.0,4.0,,Something more... ❤️,Regent's Park College,Bridge,,,2020-05-27 08:06:09,ynjtdrtu7i3ryn90g1hg1leguemzf190
208,1.0,person 512,I don't know who that is,St John's College,Male,Female,Fourth year +,"First year, Second year, Third year, Fourth year +",Physics,0.0,,Moderately left-wing,1.0,,1.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,Welfare 💜,The silent observer,Sharing events nobody cares about,First🎓,3.0,1.0,Ask questions to eat up the 🕐,0.0,,False,Uni libraries,Loud typing,Vere Harmsworth,Oxford University Conservative Association,0.0,1.0,0.0,,0.0,Morning person 🌅,Greggs,King's Arms,Society Cafe,0.0,0.0,3.0,True,Kebab van,1.0,0.0,,,3.0,2.0,"Frisbee, powerlifting ",Introverted,The Daredevil,1.0,True,Punting picnic,0.0,,,,,,0.0,0.0,0.0,4.0,Being able to enter more than one 'other' sport would be good. Well done!,Just a friend 😊,Keble College,Park End,,,2020-05-27 08:22:52,tfkuoj03zveo9i5b78tfkuoj0jy2v9r3
209,1.0,person 2267,Yes,Harris Manchester College,Male,"Male, Female",Second year,"First year, Second year, Third year, Fourth year +, Post Grad","Philosophy, Politics and Economics (PPE)",1.0,Chaotic neutral,Moderately left-wing,1.0,,0.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,1.0,President👑,The silent observer,Using it as your personal lost & found,Spouse❤️,3.0,0.0,"The Snake (I lied. I actually prepared and wrote 5,000 words.)",1.0,,True,My room,,rAD CA,Student 'journalism',0.0,1.0,1.0,,0.0,A mix of all the above depending on the week,Greggs,KA,nero,0.0,1.0,1.0,True,Kebab van,2.0,1.0,"Reggae, R&B, Rap",tYGA,9.0,1.0,None,Extroverted,The Daredevil,1.0,True,,0.0,,,,,,0.0,1.0,1.0,5.0,,Something more... ❤️,Wadham College,I don't go to clubs,,,2020-05-27 08:25:24,fl9n3xha3r3nutsogxfl9n3x7ewewd0x
210,1.0,person 1371,No,Jesus College,Male,Female,Second year,"First year, Second year","Psychology, Philosophy and Linguistics",1.0,Chaotic good,Moderately left-wing,1.0,,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,Welfare 💜,The non-stop chatterbox,Ranting / causing drama,First🎓,4.0,1.0,I'm too busy arguing with the tutor..,0.0,,True,College library,Book hog - will take the books out asap including before the reading list comes out,Duke Humphreys in the old bod,Oxford University Conservative Association,1.0,1.0,1.0,Gone back to a (second) date's room until 1 to write her (diff subject) essay for her...,0.0,A mix of all the above depending on the week,Greggs,The gardener's arms,Common ground,0.0,0.0,3.0,False,Kebab van,2.0,1.0,"Classical, Jazz, Pop",Adele,6.0,3.0,"Football, Ice hockey",Extroverted,The Wildcard,1.0,False,A big party because that's the last thing I'll be able to do :'(,0.0,,,,,,1.0,0.0,1.0,4.0,,Just a friend 😊,The Queen's College,Fever,,,2020-05-27 08:35:17,e9e9r1dyjviotivt74e9eydowzcf4bdw
211,1.0,person 1786,Yes,St Peter's College,Female,Male,Third year,"Third year, Fourth year +",Biochemistry (Molecular and Cellular),1.0,Chaotic good,Slightly left-wing,1.0,,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,Secretary ✍️,The silent observer,Using it as your personal lost & found,Spouse❤️,3.0,1.0,The Teamplayer (back them up!),0.0,A&E night before,True,College library,Tapping on table,Old bod,The Oxford Union,0.0,0.0,1.0,Walked home by tutor after night out,1.0,A mix of all the above depending on the week,Greggs,Turf,Ole and Steen,1.0,1.0,3.0,True,not in A&E?,2.0,0.0,,,5.0,4.0,Waterpolo ,Extroverted,The Organizer,1.0,True,,1.0,"Tinder, Bumble",3.0,1.0,1.0,It's hard to find people I have things in common with,1.0,0.0,1.0,5.0,,Something more... ❤️,Keble College,Park End,,,2020-05-27 08:39:59,9gi5jesqj386itgw529gi5jeiy4htmo0
212,1.0,person 2860,Yes,Wadham College,Male,Male,First year,"First year, Second year, Third year",Psychology (Experimental),1.0,Chaotic neutral,Moderately conservative,1.0,,1.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,President👑,The silent observer,Ranting / causing drama,Spouse❤️,3.0,0.0,Please don't ask me a question,1.0,,True,Uni libraries,,Radcam,My college's JCR,0.0,1.0,1.0,,0.0,Get up in the afternoon person ⏰ (!!!),Greggs,,,1.0,0.0,5.0,True,McDonalds,2.0,1.0,"Rap, Pop, R&B",Lana Del Rey,5.0,3.0,"Cycling, Rowing",In between,The Organizer,1.0,True,,1.0,Tinder,3.0,0.0,0.0,Messaging is awkward // I don't know what to say,0.0,0.0,0.0,4.0,,Something more... ❤️,Linacre College,Park End,,,2020-05-27 08:42:06,oh7b8swa6h4zk6db6oh7b51q7te0ok73
213,1.0,person 2886,Yes,Trinity College,Male,Female,Second year,"First year, Second year, Third year",Modern Languages and Linguistics,0.0,,Moderately conservative,1.0,,1.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,Entz 🎫,The silent observer,Sharing events nobody cares about,Spouse❤️,3.0,1.0,The Teamplayer (back them up!),0.0,,False,My room,,Taylorian,Student 'journalism',0.0,1.0,1.0,,0.0,Creature of the night 🌙 (no idea when I'll be up),Greggs,Any spoons,,0.0,0.0,2.0,True,Kebab van,3.0,0.0,,,3.0,2.0,None,Introverted,The Organizer,1.0,False,,0.0,,,,,,1.0,1.0,1.0,4.0,,Something more... ❤️,Balliol College,Bridge,,,2020-05-27 08:42:47,h2p5jb9dnv9idbnzt6wh2p5jjk35lda5
214,1.0,person 876,Yes,St Catherine's College,Male,Female,First year,"First year, Second year, Third year",Materials Science,1.0,Chaotic good,Moderate,1.0,,1.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,1.0,Entz 🎫,The silent observer,Just general shitposting,Blue🎖,2.0,1.0,The Teamplayer (back them up!),0.0,I just didn’t see the point,False,My room,Going to our seminar room just to annoy other students,Catz Library,The Oxford Union,1.0,0.0,1.0,I sconce anyone who once threw up a whole chicken nugget,0.0,A mix of all the above depending on the week,Pret a Manger,Turf,Paul,1.0,0.0,3.0,False,McDonalds,0.0,0.0,,,8.0,3.0,Rowing,In between,The Floater,1.0,True,Picnic in the countryside,1.0,Tinder,3.0,1.0,1.0,"It's hard to find people I have things in common with, They don't respond to messages",0.0,1.0,0.0,4.0,..,Something more... ❤️,Magdalen College,Park End,..,,2020-05-27 08:43:47,hfwvxslvv0aav5hfwvx3w51v1ogtkxgo
215,1.0,person 1574,I don't know who that is,St Hugh's College,Female,"Male, Female",Second year,Second year,Music,0.0,,Moderately conservative,1.0,,1.0,1.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,President👑,The silent observer,Ranting / causing drama,Spouse❤️,3.0,1.0,Please don't ask me a question,0.0,I decided to go home on a weekday in term time,False,Uni libraries,Not really sure,Music Faculty Library!,The Oxford Union,0.0,0.0,0.0,,0.0,A mix of all the above depending on the week,Greggs,KA,G&Ds,0.0,1.0,1.0,True,Asleep,4.0,1.0,"Classical, Jazz, Pop",Electric Light Orchestra,1.0,2.0,Cycling,Introverted,The Mom,1.0,True,A cafe trip (not very exciting!),1.0,"Tinder, Bumble",2.0,0.0,1.0,"It's difficult arranging to meet // I don't know where to meet them, It's hard to find people I have things in common with, Messaging is awkward // I don't know what to say",1.0,1.0,1.0,4.0,This is a good idea,Just a friend 😊,Magdalen College,I don't go to clubs,I’ve had one date and it was a disaster because it seems we were very different! I need more Christian males,,2020-05-27 08:44:37,s7e1cx52b066h61d7yrs7e1rv8vh2t70
